*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCB-LedDriver-V6.1
*Date=16:23:06
*CreatedBy=Fritzing 0.9.6b..
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;100;THT;157.554;-36.3255;180;Bottom;R38
2;;;176.922;-16.6404;0;Bottom;Pad30
3;;;39.7616;-16.6404;0;Bottom;Pad118
4;;;136.282;-14.1004;0;Bottom;Pad11
5;;;90.5685;-28.7138;0;Bottom;Via12
6;;;97.9231;-6.01839;0;Top;blkr2
7;100;THT;181.049;-22.3555;0;Bottom;R66
8;;;154.062;-16.6404;0;Bottom;Pad22
9;;;211.197;-52.1996;0;Top;blkr8
10;100;THT;153.109;-22.3555;0;Bottom;R71
11;;;44.8416;-28.7056;0;Bottom;Via14
12;100;THT;134.694;-36.3255;180;Bottom;R42
13;100;THT;66.7491;-22.3555;0;Bottom;R86
14;;;65.1616;-42.0404;0;Bottom;Pad80
15;100;THT;26.1091;-22.3555;0;Bottom;R93
16;;;60.0816;-44.5804;0;Bottom;Pad78
17;;;213.286;-27.7264;-90;Bottom;TXT12
18;330;THT;146.442;-7.43297;90;Bottom;R104
19;100;THT;124.534;-36.3255;180;Bottom;R44
20;330;THT;123.582;-7.43297;90;Bottom;R108
21;;;186.764;-16.6404;0;Bottom;Pad29
22;;THT;178.192;-56.0105;90;Bottom;J1
23;100;THT;78.8141;-36.3255;180;Bottom;R53
24;330;THT;174.382;-7.43297;90;Bottom;R99
25;100;THT;140.409;-22.3555;0;Bottom;R73
26;;;95.6416;-14.1004;0;Bottom;Pad98
27;100;THT;186.129;-22.3555;0;Bottom;R65
28;;;174.382;-44.5804;0;Bottom;Pad35
29;100;THT;101.674;-36.3255;180;Bottom;R48
30;100;THT;38.1741;-36.3255;0;Bottom;R59
31;;THT;211.212;-52.2005;180;Bottom;HW-613
32;;;190.78;-13.2355;0;Bottom;Copper Fill35
33;;DIP16 [THT];18.1716;-29.3405;90;Bottom;IC8
34;100;THT;175.334;-36.3255;0;Bottom;R35
35;;;126.122;-16.6404;0;Bottom;Pad9
36;;;118.502;-16.6404;0;Bottom;Pad8
37;100;THT;61.6691;-22.3555;0;Bottom;R87
38;330;THT;3.88408;-40.453;-90;Bottom;R129
39;;;146.442;-42.0404;0;Bottom;Pad47
40;;;16.9016;-14.1004;0;Bottom;Pad125
41;;;182.002;-14.1004;0;Bottom;Pad27
42;330;THT;131.202;-51.248;90;Bottom;R11
43;;DIP16 [THT];63.8916;-29.3405;90;Bottom;IC6
44;;;56.5891;-16.6404;0;Bottom;Pad112
45;100;THT;111.834;-36.3255;180;Bottom;R46
46;;;93.1016;-42.0404;0;Bottom;Pad67
47;330;THT;60.0816;-7.43297;90;Bottom;R119
48;100;THT;170.889;-22.3555;0;Bottom;R68
49;;THT;155.245;-15.3706;90;Bottom;U4
50;330;THT;95.6416;-51.248;90;Bottom;R17
51;100µF;100 mil [THT, electrolytic];198.512;-40.7705;-90;Bottom;C9
52;;THT;86.7516;-2.67047;-90;Bottom;J10
53;;;108.342;-16.6404;0;Bottom;Pad3
54;;;184.542;-42.0404;0;Bottom;Pad38
55;330;THT;141.362;-51.248;90;Bottom;R9
56;;;207.159;-4.5962;0;Bottom;blkr5
57;;;80.4016;-16.6404;0;Bottom;Pad104
58;;;47.3816;-44.5804;0;Bottom;Pad85
59;100;THT;107.389;-22.3555;0;Bottom;R79
60;100;THT;71.8291;-22.3555;0;Bottom;R85
61;100;THT;20.3941;-36.3255;180;Bottom;R62
62;330;THT;72.7816;-51.248;90;Bottom;R21
