*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCB-LedDriver-V4.2
*Date=12:26:36
*CreatedBy=Fritzing 0.9.6b..
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;89.4847;-3.27995;0;Bottom;Pad64
2;;THT;12.0146;-63.6049;90;Bottom;J1
3;330;THT;31.0646;-9.94736;90;Bottom;R58
4;;;33.6047;-3.27995;0;Bottom;Pad46
5;;;84.4047;-3.27995;0;Bottom;Pad62
6;100;THT;35.1921;-25.5049;0;Bottom;R43
7;;;76.7847;-67.0974;0;Bottom;Pad3
8;330;THT;76.7846;-9.94736;90;Bottom;R66
9;330;THT;8.20461;-9.94736;90;Bottom;R54
10;;DIP16 [THT];34.8746;-34.3949;90;Bottom;U3
11;330;THT;18.3646;-9.94736;90;Bottom;R56
12;330;THT;33.6046;-58.8424;90;Bottom;R6
13;;;41.2247;-67.0974;0;Bottom;Pad17
14;;;25.9847;-67.0974;0;Bottom;Pad23
15;;;56.4647;-1.69245;0;Bottom;Pad55
16;;;74.2447;-3.27995;0;Bottom;Pad58
17;;THT;80.5085;-17.8849;90;Bottom;U6
18;;;73.2147;-17.077;0;Bottom;TXT7
19;330;THT;20.9046;-58.8424;90;Bottom;R4
20;;;95.8347;-5.18477;0;Bottom;Hole5
21;;;56.4647;-3.27995;0;Bottom;Pad56
22;;;92.6119;-17.6881;0;Bottom;TXT1
23;;;15.8247;-1.69245;0;Bottom;Pad37
24;;;64.0847;-65.5099;0;Bottom;Pad10
25;;THT;12.0146;-5.18486;-90;Bottom;J11
26;;DIP16 [THT];80.5946;-34.3949;90;Bottom;U1
27;100;THT;47.8921;-25.5049;0;Bottom;R45
28;330;THT;38.6846;-58.8424;90;Bottom;R7
29;;;61.5447;-1.69245;0;Bottom;Pad51
30;;;84.4047;-1.69245;0;Bottom;Pad61
31;330;THT;5.66461;-58.8424;90;Bottom;R1
32;100;THT;42.1771;-43.2849;-4.77083e-15;Bottom;R25
33;;;5.66469;-3.27995;0;Bottom;Pad34
34;;;95.8347;-38.2048;0;Bottom;Pad65
35;;;31.0647;-67.0974;0;Bottom;Pad21
36;330;THT;13.2846;-9.94736;90;Bottom;R55
37;;THT;57.8207;-50.9049;-90;Bottom;U7
38;;;74.2447;-1.69245;0;Bottom;Pad57
39;330;THT;71.7046;-9.94736;90;Bottom;R65
40;100;THT;77.7371;-43.2849;0;Bottom;R33
41;;;96.3389;-48.4923;-90;Bottom;TXT7
42;330;THT;56.4646;-58.8424;90;Bottom;R10
43;100;THT;4.07711;-43.2849;180;Bottom;R17
44;330;THT;81.8646;-9.94736;90;Bottom;R67
45;;;64.0847;-67.0974;0;Bottom;Pad9
46;;THT;34.8746;-63.6049;90;Bottom;J2
47;330;THT;89.4846;-58.8424;-90;Bottom;R16
48;;;25.9847;-65.5099;0;Bottom;Pad24
49;;;38.6847;-1.69245;0;Bottom;Pad47
50;;;13.2847;-65.5099;0;Bottom;Pad28
51;;;53.9247;-65.5099;0;Bottom;Pad14
52;330;THT;86.9446;-9.94736;90;Bottom;R68
53;100;THT;52.9721;-25.5049;0;Bottom;R46
54;;;43.7647;-1.69245;0;Bottom;Pad49
55;;;47.1799;-27.7607;0;Bottom;TXT8
56;;;71.5435;-50.7465;0;Bottom;TXT5
57;;DIP16 [THT];57.7346;-34.3949;90;Bottom;U2
58;;;59.0047;-65.5099;0;Bottom;Pad12
59;;THT;95.8346;-14.0749;0;Bottom;J10
60;;;95.8347;-35.6648;0;Bottom;Pad66
61;330;THT;48.8446;-9.94736;90;Bottom;R61
62;;;36.1447;-65.5099;0;Bottom;Pad20
63;;;71.7047;-67.0974;0;Bottom;Pad1
64;;THT;34.9607;-50.9049;-90;Bottom;U9
65;;;92.635;-10.004;0;Bottom;TXT4
66;330;THT;28.5246;-58.8424;90;Bottom;R5
67;;;18.3647;-67.0974;0;Bottom;Pad25
68;100;THT;26.9371;-43.2849;180;Bottom;R22
69;;;92.6886;-25.3679;0;Bottom;TXT3
70;;;8.20469;-67.0974;0;Bottom;Pad29
71;330;THT;79.3246;-58.8424;90;Bottom;R14
72;100;THT;70.7521;-25.5049;0;Bottom;R49
73;;;51.3847;-3.27995;0;Bottom;Pad44
74;;;92.9401;-22.4644;0;Bottom;TXT4
75;330;THT;3.12461;-9.94736;90;Bottom;R53
76;;THT;34.8746;-5.18486;-90;Bottom;J12
77;;;3.12469;-65.5099;0;Bottom;Pad32
78;100;THT;14.2371;-43.2849;180;Bottom;R19
79;;;51.3847;-1.69245;0;Bottom;Pad43
80;100;THT;63.1321;-25.5049;0;Bottom;R48
81;100;THT;32.0171;-43.2849;0;Bottom;R23
82;;;43.7647;-3.27995;0;Bottom;Pad50
83;;;92.8029;-12.4938;0;Bottom;TXT3
84;100;THT;80.9121;-25.5049;0;Bottom;R51
85;100;THT;54.8771;-43.2849;0;Bottom;R28
86;;;86.9447;-65.5099;0;Bottom;Pad7
87;;;92.7442;-30.5574;0;Bottom;TXT1
88;;;86.9447;-67.0974;0;Bottom;Pad8
89;330;THT;53.9246;-9.94736;90;Bottom;R62
90;;;20.9047;-1.69245;0;Bottom;Pad39
91;;;31.0647;-65.5099;0;Bottom;Pad22
92;330;THT;66.6246;-58.8424;90;Bottom;R12
93;;;95.8347;-63.6049;0;Bottom;Hole6
94;100;THT;75.8321;-25.5049;0;Bottom;R50
95;100;THT;58.0521;-25.5049;0;Bottom;R47
96;;;61.5447;-3.27995;0;Bottom;Pad52
97;100;THT;25.0321;-25.5049;0;Bottom;R41
98;100;THT;87.8971;-43.2849;0;Bottom;R35
99;330;THT;10.7446;-58.8424;90;Bottom;R2
