*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCB-LedDriver-V5.3
*Date=15:56:54
*CreatedBy=Fritzing 0.9.6b..
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;128.534;-42.0065;0;Bottom;Pad50
2;;;77.7336;-44.5465;0;Bottom;Pad65
3;;;44.7136;-28.6717;0;Bottom;Via14
4;100;THT;33.6011;-22.3216;0;Bottom;R92
5;330;THT;19.3136;-7.3991;90;Bottom;R126
6;330;THT;21.8536;-51.2141;90;Bottom;R30
7;330;THT;108.214;-51.2141;90;Bottom;R15
8;100;THT;94.5611;-22.3216;0;Bottom;R81
9;;;153.934;-16.6065;0;Bottom;Pad22
10;;;115.834;-44.5465;0;Bottom;Pad60
11;;;181.874;-28.6717;0;Bottom;Via6
12;;THT;63.6776;-15.3367;90;Bottom;U12
13;100;THT;93.9261;-36.2916;-4.77083e-15;Bottom;R49
14;;;115.828;-29.9471;0;Bottom;Via7
15;;;146.314;-42.0065;0;Bottom;Pad47
16;330;THT;39.6336;-51.2141;90;Bottom;R27
17;;THT;192.034;-29.3066;180;Bottom;I2C
18;100;THT;78.6861;-36.2916;180;Bottom;R53
19;100;THT;38.0461;-36.2916;0;Bottom;R59
20;330;THT;148.854;-51.2141;90;Bottom;R8
21;;THT;86.6236;-3.2716;-90;Bottom;J10
22;;;153.934;-14.0665;0;Bottom;Pad24
23;;;148.854;-16.6065;0;Bottom;Pad17
24;100;THT;157.426;-36.2916;180;Bottom;R38
25;;;184.414;-29.9417;0;Bottom;Via5
26;;;77.7336;-42.0065;0;Bottom;Pad66
27;;;141.234;-14.0665;0;Bottom;Pad15
28;;;173.948;-14.2701;0;Bottom;TXT8
29;;;181.874;-16.6065;0;Bottom;Pad28
30;;;9.15363;-44.5465;0;Bottom;Pad89
31;;THT;63.8496;-43.2766;-90;Bottom;U11
32;;;164.094;-14.0665;0;Bottom;Pad23
33;;;37.0936;-42.0065;0;Bottom;Pad87
34;;;14.2336;-44.5465;0;Bottom;Pad94
35;;;123.454;-44.5465;0;Bottom;Pad56
36;;;159.014;-14.0665;0;Bottom;Pad19
37;;;54.8736;-44.5465;0;Bottom;Pad73
38;330;THT;186.954;-51.2141;-90;Bottom;R1
39;;;80.2737;-16.6065;0;Bottom;Pad104
