*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCB-LedDriverFill-V5.0
*Date=06:58:31
*CreatedBy=Fritzing 0.9.6b..
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;115.834;-44.5465;0;Bottom;Pad60
2;;;47.2815;-29.8534;0;Bottom;Via13
3;;;186.954;-14.0665;0;Bottom;Pad31
4;100;THT;20.2661;-36.2916;180;Bottom;R62
5;;;169.174;-42.0065;0;Bottom;Pad39
6;;;9.15363;-44.5465;0;Bottom;Pad89
7;;;161.554;-42.0065;0;Bottom;Pad46
8;;THT;18.0436;-55.3416;90;Bottom;J15
9;;;138.694;-42.0065;0;Bottom;Pad54
10;;;113.294;-14.0665;0;Bottom;Pad6
11;330;THT;80.2736;-51.2141;90;Bottom;R20
12;;THT;40.9036;-3.2716;-90;Bottom;J14
13;330;THT;90.4336;-51.2141;90;Bottom;R18
14;100;THT;125.041;-22.3216;0;Bottom;R76
15;;;192.034;-3.90652;0;Bottom;Hole5
16;330;THT;151.394;-7.3991;90;Bottom;R103
17;;;34.5536;-16.6065;0;Bottom;Pad120
18;100;THT;157.426;-36.2916;180;Bottom;R38
19;;THT;86.5376;-15.3367;90;Bottom;U10
20;330;THT;65.0336;-7.3991;90;Bottom;R118
21;;THT;109.57;-43.2766;-90;Bottom;U7
22;;;34.5536;-14.0665;0;Bottom;Pad119
23;100;THT;60.9061;-36.2916;0;Bottom;R55
24;;;184.414;-44.5465;0;Bottom;Pad36
25;100;THT;185.366;-36.2916;0;Bottom;R33
26;330;THT;156.474;-7.3991;90;Bottom;R102
27;;;16.7736;-16.6065;0;Bottom;Pad126
28;330;THT;153.934;-51.2141;90;Bottom;R7
29;100;THT;139.646;-36.2916;-4.77083e-15;Bottom;R41
30;;;159.014;-16.6065;0;Bottom;Pad20
31;;;39.6337;-14.0665;0;Bottom;Pad117
32;;THT;109.398;-15.3367;90;Bottom;U8
33;;;131.074;-16.6065;0;Bottom;Pad14
34;330;THT;95.5136;-51.2141;90;Bottom;R17
35;100;THT;32.9661;-36.2916;180;Bottom;R60
36;100;THT;10.7411;-22.3216;0;Bottom;R96
37;330;THT;47.2536;-7.3991;90;Bottom;R121
38;100;THT;56.4611;-22.3216;0;Bottom;R88
39;100;THT;93.9261;-36.2916;-4.77083e-15;Bottom;R49
40;;;181.874;-14.0665;0;Bottom;Pad27
41;100;THT;140.281;-22.3216;0;Bottom;R73
42;330;THT;100.594;-7.3991;90;Bottom;R112
43;;;14.2336;-42.0065;0;Bottom;Pad95
44;;;174.254;-44.5465;0;Bottom;Pad35
45;100;THT;55.8261;-36.2916;180;Bottom;R56
46;330;THT;62.4936;-51.2141;90;Bottom;R23
47;100;THT;116.786;-36.2916;-4.77083e-15;Bottom;R45
48;;;70.0998;-29.9403;0;Bottom;Via16
49;;;47.2536;-42.0065;0;Bottom;Pad83
50;;;39.6337;-16.6065;0;Bottom;Pad118
51;330;THT;14.2336;-7.3991;90;Bottom;R127
52;100;THT;65.9861;-36.2916;180;Bottom;R54
53;;;164.094;-14.0665;0;Bottom;Pad23
54;;;148.854;-16.6065;0;Bottom;Pad17
55;;THT;18.0436;-3.2716;-90;Bottom;J16
56;;THT;132.661;-55.3416;90;Bottom;J5
57;100;THT;152.346;-36.2916;0;Bottom;R39
58;;;125.994;-14.0665;0;Bottom;Pad10
59;100;THT;71.0661;-36.2916;-4.77083e-15;Bottom;R54
60;330;THT;85.3536;-51.2141;90;Bottom;R19
61;100;THT;79.3211;-22.3216;0;Bottom;R84
62;100;THT;15.1861;-36.2916;0;Bottom;R63
63;;;90.4406;-28.6799;0;Bottom;Via12
64;;;19.3136;-42.0065;0;Bottom;Pad96
65;;;80.2737;-16.6065;0;Bottom;Pad104
66;;;67.5736;-14.0665;0;Bottom;Pad107
67;;;184.414;-42.0065;0;Bottom;Pad38
68;330;THT;146.314;-7.3991;90;Bottom;R104
69;330;THT;39.6336;-51.2141;90;Bottom;R27
70;100;THT;112.341;-22.3216;0;Bottom;R78
71;330;THT;174.254;-7.3991;90;Bottom;R99
72;100;THT;180.286;-36.2916;180;Bottom;R34
73;;;49.7936;-16.6065;0;Bottom;Pad113
74;;;128.534;-42.0065;0;Bottom;Pad50
75;330;THT;148.854;-51.2141;90;Bottom;R8
76;330;THT;103.134;-51.2141;90;Bottom;R16
77;;;105.674;-42.0065;0;Bottom;Pad58
78;;;87.8936;-42.0065;0;Bottom;Pad72
79;;;44.7137;-14.0665;0;Bottom;Pad115
80;330;THT;181.874;-51.2141;-90;Bottom;R2
81;;THT;178.155;-43.2435;-90;Bottom;U1
82;100;THT;66.6211;-22.3216;0;Bottom;R86
83;100;THT;129.486;-36.2916;0;Bottom;R43
